,soup
0,"['chris pratt', 'bryce dallas howard', 'irrfan khan', ""vincent d'onofrio"", 'nick robinson'] colin trevorrow ['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island'] twenty-two years after the events of jurassic park, isla nublar now features a fully functioning dinosaur theme park, jurassic world, as originally envisioned by john hammond. jurassic world  ['action', 'adventure', 'drama', 'sci-fi', 'thriller']"
1,"['tom hardy', 'charlize theron', 'hugh keays-byrne', 'nicholas hoult', 'josh helman'] george miller ['future', 'chase', 'post-apocalyptic', 'dystopia', 'australia'] an apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. within this world exist two rebels on the run who just might be able to restore order. there's max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. and furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland. mad max: fury road  ['action', 'adventure', 'sci-fi', 'thriller']"
2,"['harrison ford', 'mark hamill', 'carrie fisher', 'adam driver', 'daisy ridley'] j.j. abrams ['android', 'spaceship', 'jedi', 'space opera', '3d'] thirty years after defeating the galactic empire, han solo and his allies face a new threat from the evil kylo ren and his army of stormtroopers. star wars: episode vii - the force awakens  ['action', 'adventure', 'fantasy', 'sci-fi', 'imax']"
3,"['leonardo dicaprio', 'tom hardy', 'will poulter', 'domhnall gleeson', 'paul anderson'] alejandro gonzã¡lez iã±ã¡rritu ['father-son relationship', 'rape', 'based on novel', 'mountains', 'winter'] in the 1820s, a frontiersman, hugh glass, sets out on a path of vengeance against those who left him for dead after a bear mauling. the revenant  ['adventure', 'drama']"
4,"['matt damon', 'jessica chastain', 'kristen wiig', 'jeff daniels', 'michael peã±a'] ridley scott ['based on novel', 'mars', 'nasa', 'isolation', 'botanist'] during a manned mission to mars, astronaut mark watney is presumed dead after a fierce storm and left behind by his crew. but watney has survived and finds himself stranded and alone on the hostile planet. with only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to earth that he is alive. the martian  ['adventure', 'drama', 'sci-fi']"
5,"['sandra bullock', 'jon hamm', 'michael keaton', 'allison janney', 'steve coogan'] kyle balda|pierre coffin ['assistant', 'aftercreditsstinger', 'duringcreditsstinger', 'evil mastermind', 'minions'] minions stuart, kevin and bob are recruited by scarlet overkill, a super-villain who, alongside her inventor husband herb, hatches a plot to take over the world. minions  ['adventure', 'animation', 'children', 'comedy']"
6,"['amy poehler', 'phyllis smith', 'richard kind', 'bill hader', 'lewis black'] pete docter ['dream', 'cartoon', 'imaginary friend', 'animation', 'kid'] growing up can be a bumpy road, and it's no exception for riley, who is uprooted from her midwest life when her father starts a new job in san francisco. like all of us, riley is guided by her emotions - joy, fear, anger, disgust and sadness. the emotions live in headquarters, the control center inside riley's mind, where they help advise her through everyday life. as riley and her emotions struggle to adjust to a new life in san francisco, turmoil ensues in headquarters. although joy, riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school. inside out  ['adventure', 'animation', 'children', 'comedy', 'drama', 'fantasy']"
7,"['daniel craig', 'christoph waltz', 'lã©a seydoux', 'ralph fiennes', 'monica bellucci'] sam mendes ['spy', 'based on novel', 'secret agent', 'sequel', 'james bond'] a cryptic message from bondâ€™s past sends him on a trail to uncover a sinister organization. while m battles political forces to keep the secret service alive, bond peels back the layers of deceit to reveal the terrible truth behind spectre. spectre  ['action', 'adventure', 'crime']"
8,"['domhnall gleeson', 'alicia vikander', 'oscar isaac', 'sonoya mizuno', 'corey johnson'] alex garland ['dancing', 'artificial intelligence', 'helicopter', 'distrust', 'isolation'] caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to nathan, the reclusive ceo of the company. but when caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl. ex machina  ['drama', 'sci-fi', 'thriller']"
9,"['robert downey jr.', 'chris hemsworth', 'mark ruffalo', 'chris evans', 'scarlett johansson'] joss whedon ['marvel comic', 'comic', 'sequel', 'superhero', 'vision'] when tony stark tries to jumpstart a dormant peacekeeping program, things go awry and earthâ€™s mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance. as the villainous ultron emerges, it is up to the avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. avengers: age of ultron  ['action', 'adventure', 'sci-fi']"
10,"['samuel l. jackson', 'kurt russell', 'jennifer jason leigh', 'walton goggins', 'demiã¡n bichir'] quentin tarantino ['bounty hunter', 'wyoming', 'mountains', 'hangman', 'voice over narration'] bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception. the hateful eight  ['western']"
11,"['paul rudd', 'michael douglas', 'evangeline lilly', 'corey stoll', 'bobby cannavale'] peyton reed ['marvel comic', 'superhero', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe'] armed with the astonishing ability to shrink in scale but increase in strength, con-man scott lang must embrace his inner-hero and help his mentor, dr. hank pym, protect the secret behind his spectacular ant-man suit from a new generation of towering threats. against seemingly insurmountable obstacles, pym and lang must plan and pull off a heist that will save the world. ant-man  ['action', 'adventure', 'sci-fi']"
12,"['jennifer lawrence', 'josh hutcherson', 'liam hemsworth', 'woody harrelson', 'elizabeth banks'] francis lawrence ['revolution', 'strong woman', 'dystopia', 'game of death', '3d'] with the nation of panem in a full scale war, katniss confronts president snow in the final showdown. teamed with a group of her closest friends â€“ including gale, finnick, and peeta â€“ katniss goes off on a mission with the unit from district 13 as they risk their lives to stage an assassination attempt on president snow who has become increasingly obsessed with destroying her. the mortal traps, enemies, and moral choices that await katniss will challenge her more than any arena she faced in the hunger games. the hunger games: mockingjay - part 2  ['adventure', 'sci-fi']"
13,"['christian bale', 'steve carell', 'ryan gosling', 'brad pitt', 'melissa leo'] adam mckay ['bank', 'fraud', 'biography', 'wall street', 'finances'] the men who made millions from a global economic meltdown. big short, the  ['drama']"
14,"['tom cruise', 'jeremy renner', 'simon pegg', 'rebecca ferguson', 'ving rhames'] christopher mcquarrie ['spy', 'sequel', 'mission'] ethan and team take on their most impossible mission yet, eradicating the syndicate - an international rogue organization as highly skilled as they are, committed to destroying the imf. mission: impossible - rogue nation  ['action', 'adventure', 'thriller']"
15,"['taron egerton', 'colin firth', 'samuel l. jackson', 'michael caine', 'mark strong'] matthew vaughn ['spy', 'great britain', 'secret organization', 'secret agent', 'marvel comic'] the story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius. kingsman: the secret service  ['action', 'adventure', 'comedy', 'crime']"
16,"['mark ruffalo', 'michael keaton', 'rachel mcadams', 'liev schreiber', 'john slattery'] tom mccarthy ['child abuse', 'journalism', 'judge', 'florida', 'boston'] the true story of how the boston globe uncovered the massive scandal of child molestation and cover-up within the local catholic archdiocese, shaking the entire catholic church to its core. spotlight  ['thriller']"
17,"['sharlto copley', 'dev patel', 'ninja', 'yolandi visser', 'jose pablo cantillo'] neill blomkamp ['artificial intelligence', 'android', 'robot', 'near future', 'robot cop'] every child comes into the world full of promise, and none more so than chappie: he is gifted, special, a prodigy. like any child, chappie will come under the influence of his surroundingsâ€”some good, some badâ€”and he will rely on his heart and soul to find his way in the world and become his own man. but there's one thing that makes chappie different from any one else: he is a robot. chappie  ['action', 'thriller']"
18,"['henry cavill', 'armie hammer', 'alicia vikander', 'elizabeth debicki', 'luca calvani'] guy ritchie ['spy', 'cold war', 'remake', 'based on tv series', 'buddy cop'] at the height of the cold war, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the united states and soviet union. cia agent napoleon solo and kgb agent illya kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. the duo's only lead is the daughter of a missing german scientist, whom they must find soon to prevent a global catastrophe. the man from u.n.c.l.e.  ['action', 'adventure', 'comedy']"
19,"['robert de niro', 'anne hathaway', 'rene russo', 'anders holm', 'jojo kushner'] nancy meyers ['intern', 'woman director'] 70-year-old widower ben whittaker has discovered that retirement isn't all it's cracked up to be. seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by jules ostin. the intern  ['comedy']"
20,"['emily blunt', 'benicio del toro', 'josh brolin', 'victor garber', 'jon bernthal'] denis villeneuve ['mexico', 'cia', 'smoking', 'texas', 'fbi'] a young female fbi agent joins a secret cia operation to take down a mexican cartel boss, a job that ends up pushing her ethical and moral values to the limit. sicario  ['crime', 'drama', 'mystery']"
21,"['melissa mccarthy', 'jason statham', 'rose byrne', 'miranda hart', 'bobby cannavale'] paul feig ['spy', 'cia', 'undercover', 'arms dealer', 'disaster'] a desk-bound cia analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster. spy  ['action', 'comedy', 'crime']"
22,"['will smith', 'margot robbie', 'rodrigo santoro', 'robert taylor', 'gerald mcraney'] glenn ficarra|john requa ['seduction', 'con man', 'femme fatale', 'deception', 'con artist'] a veteran grifter takes a young, attractive woman under his wing, but things get complicated when they become romantically involved. focus  ['comedy', 'crime', 'drama', 'romance']"
23,"['amy schumer', 'bill hader', 'brie larson', 'colin quinn', 'vanessa bayer'] judd apatow ['alcohol', 'one-night stand'] having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy. trainwreck  ['comedy', 'romance']"
24,"['matthew mcconaughey', 'jessica chastain', 'anne hathaway', 'michael caine', 'casey affleck'] christopher nolan ['saving the world', 'artificial intelligence', 'father-son relationship', 'single parent', 'nasa'] interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage. interstellar  ['sci-fi', 'imax']"
25,"['chris pratt', 'zoe saldana', 'dave bautista', 'vin diesel', 'bradley cooper'] james gunn ['marvel comic', 'spaceship', 'space', 'scene during end credits', 'outer space'] light years from earth, 26 years after being abducted, peter quill finds himself the prime target of a manhunt after discovering an orb wanted by ronan the accuser. guardians of the galaxy  ['action', 'adventure', 'sci-fi']"
26,"['chris evans', 'scarlett johansson', 'sebastian stan', 'samuel l. jackson', 'robert redford'] joe russo|anthony russo ['washington d.c.', 'future', 'shield', 'marvel comic', 'comic'] after the cataclysmic events in new york with the avengers, steve rogers, aka captain america is living quietly in washington, d.c. and trying to adjust to the modern world. but when a s.h.i.e.l.d. colleague comes under attack, steve becomes embroiled in a web of intrigue that threatens to put the world at risk. joining forces with the black widow, captain america struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. when the full scope of the villainous plot is revealed, captain america and the black widow enlist the help of a new ally, the falcon. however, they soon find themselves up against an unexpected and formidable enemyâ€”the winter soldier. captain america: the winter soldier  ['action', 'adventure', 'sci-fi', 'imax']"
27,"['keanu reeves', 'michael nyqvist', 'alfie allen', 'willem dafoe', 'dean winters'] chad stahelski|david leitch ['hitman', 'revenge', 'murder', 'gangster', 'dog'] after the sudden death of his beloved wife, john wick receives one last gift from her, a beagle puppy named daisy, and a note imploring him not to forget how to love. but john's mourning is interrupted when his 1969 boss mustang catches the eye of sadistic thug iosef tarasov who breaks into his house and steals it, beating john unconscious in the process. unwittingly, he has just reawakened one of the most brutal assassins the underworld has ever known. john wick  ['action', 'thriller']"
28,"['jennifer lawrence', 'josh hutcherson', 'liam hemsworth', 'woody harrelson', 'donald sutherland'] francis lawrence ['resistance', 'post-apocalyptic', 'dystopia', 'war', 'sequel'] katniss everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic capitol. the hunger games: mockingjay - part 1  ['adventure', 'sci-fi', 'thriller']"
29,"['martin freeman', 'ian mckellen', 'richard armitage', 'ken stott', 'graham mctavish'] peter jackson ['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)'] immediately after the events of the desolation of smaug, bilbo and the dwarves try to defend erebor's mountain of treasure from others who claim it: the men of the ruined laketown and the elves of mirkwood. meanwhile an army of orcs led by azog the defiler is marching on erebor, fueled by the rise of the dark lord sauron. dwarves, elves and men must unite, and the hope for middle-earth falls into bilbo's hands. the hobbit: the battle of the five armies  ['adventure', 'fantasy']"
30,"['scott adsit', 'ryan potter', 'daniel henney', 't.j. miller', 'jamie chung'] don hall|chris williams ['brother brother relationship', 'hero', 'talent', 'revenge', 'best friend'] the special bond that develops between plus-sized inflatable robot baymax, and prodigy hiro hamada, who team up with a group of friends to form a band of high-tech heroes. big hero 6  ['action', 'animation', 'comedy']"
31,"['benedict cumberbatch', 'keira knightley', 'matthew goode', 'rory kinnear', 'allen leech'] morten tyldum ['gay', 'england', 'world war ii', 'mathematician', 'biography'] based on the real life story of legendary cryptanalyst alan turing, the film portrays the nail-biting race against time by turing and his brilliant team of code-breakers at britain's top-secret government code and cypher school at bletchley park, during the darkest days of world war ii. the imitation game  ['drama', 'thriller', 'war']"
32,"[""dylan o'brien"", 'ki hong lee', 'kaya scodelario', 'aml ameen', 'blake cooper'] wes ball ['based on novel', 'maze', 'post-apocalyptic', 'dystopia', 'escape'] set in a post-apocalyptic world, young thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape. maze runner, the  ['action', 'mystery', 'sci-fi']"
33,"['michael keaton', 'zach galifianakis', 'edward norton', 'emma stone', 'naomi watts'] alejandro gonzã¡lez iã±ã¡rritu ['times square', 'superhero', 'long take', 'new york city', 'play'] a fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a broadway play. as opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected. birdman: or (the unexpected virtue of ignorance)  ['comedy', 'drama']"
